"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature" "treatment"
"LOCNA.11" 146.614345126383 -1.58967086850565 0.196564651423858 3.51091870074164e-17 5.4922471541935e-14 NA NA "triploid_desiccation"
"LOC105341870" 23.2627778338928 -1.59415440316634 0.659314668987294 0.000465511435967352 0.0217247626622265 "glyoxylate reductase/hydroxypyruvate reductase" "genome" "triploid_desiccation"
"LOC105341927" 736.33194075819 -1.64928457736582 0.404386612858318 1.86368029509989e-06 0.00029901714956936 "uncharacterized protein LOC105341927 isoform X1" "genome" "triploid_desiccation"
"LOC105335714" 797.914694568525 -1.71127175664798 0.452291113429049 5.98228407924051e-06 0.000779857199552103 "lectin BRA-3 isoform X4" "genome" "triploid_desiccation"
"LOC109617704" 20.6854969327499 -1.76519334355505 0.649030713432051 0.000213624851759261 0.0125317678663276 "uncharacterized protein LOC109617704" "genome" "triploid_desiccation"
"LOC117690801" 31.9997845647549 -1.77156524257558 0.557985672677403 5.26638897709633e-05 0.00429828929904575 "uncharacterized protein LOC117690801 isoform X1" "genome" "triploid_desiccation"
"LOC117683053" 65.786980299008 -1.79855950667245 0.569256669047024 5.4050872667037e-05 0.00437346112804146 "uncharacterized protein LOC117683053" "genome" "triploid_desiccation"
"LOC105329030" 26.1922397381173 -1.81413774810154 0.501283923171252 1.18264525675944e-05 0.0013059186329346 "uncharacterized protein LOC105329030" "genome" "triploid_desiccation"
"LOC117682909" 12.0015906067045 -1.90911347951453 0.444286068580918 7.60078821262747e-07 0.000142681996327443 "heavy metal-binding protein HIP-like isoform X1" "genome" "triploid_desiccation"
"LOC105342748" 18.6231235461124 -1.9220820040662 0.294530701500421 3.57191327895456e-12 2.9153024379363e-09 "microfibril-associated glycoprotein 4" "genome" "triploid_desiccation"
"LOC117686727" 27.8326416146715 -1.94849431207973 0.577267454505701 2.71393809077406e-05 0.00261261773538517 "short-chain collagen C4-like" "genome" "triploid_desiccation"
"LOC117684302" 143.591907496755 -1.97621212191105 0.548619313190017 1.11089837044633e-05 0.00126386570969809 "uncharacterized protein LOC117684302" "genome" "triploid_desiccation"
"LOC105326729" 11.863308142329 -1.99164048315355 0.43434578401564 2.23409822415122e-07 5.24231148297083e-05 "complement C1q-like protein 3" "genome" "triploid_desiccation"
"LOC117690533" 16.814866831488 -1.99456313235755 0.561910339938293 1.57453433256287e-05 0.00167938400516308 "serine/threonine-protein kinase TAO3-like" "genome" "triploid_desiccation"
"LOC117686729" 24.8248019649305 -2.01537632723771 0.626922683596047 4.34439881373731e-05 0.00369018346296275 "uncharacterized protein LOC117686729" "genome" "triploid_desiccation"
"LOC117691193" 25.7005559900126 -2.15118255302749 0.582739917113104 8.53425242769753e-06 0.00104029212060219 "elongation factor 2-like" "genome" "triploid_desiccation"
"LOC117681275" 50.2987495253771 -2.417886968179 0.698751630972665 1.87432696345059e-05 0.00194391523524279 "uncharacterized protein LOC117681275" "genome" "triploid_desiccation"
"LOC105320276" 293.705684226262 -2.49821988900664 0.336209775167471 5.09734511663354e-15 6.37915750196298e-12 "translation initiation factor IF-2-like isoform X7" "genome" "triploid_desiccation"
"LOC105338481" 35.8579581153005 -2.50846864766427 0.495422194083094 1.86134477071578e-08 6.85120863448561e-06 "uncharacterized protein LOC105338481" "genome" "triploid_desiccation"
"LOC105333611" 12.4957532025763 -2.66275343661423 0.471693260182514 7.76036314329289e-10 3.73532145963831e-07 "uncharacterized protein LOC105333611" "genome" "triploid_desiccation"
"LOC105321620" 22.2046772721122 -2.74053077109486 0.619124661075385 3.8838730883344e-07 8.2850074561606e-05 "heavy metal-binding protein HIP" "genome" "triploid_desiccation"
"LOC105321796" 16.2836892816742 -2.90584655270624 0.602638283849187 5.18456681588291e-08 1.58639231758969e-05 "uncharacterized protein LOC105321796" "genome" "triploid_desiccation"
"LOC109619585" 96.465189078017 -3.45231473079686 0.752061988326585 1.61158506643972e-07 4.0336899822942e-05 "sterile alpha motif domain-containing protein 9-like" "genome" "triploid_desiccation"
"LOC105318074" 395.656243547904 -3.68036490459778 0.38605958666545 7.60397599930267e-23 1.78427296823637e-19 "perlucin-like protein" "genome" "triploid_desiccation"
"LOC105330078" 668.762487520556 -4.08410235900246 0.64341766286035 9.23417662473677e-12 6.42014679998366e-09 "fucolectin" "genome" "triploid_desiccation"
